mode,question_hash,ts,question_text,computed_answer,chosen_option,correct
percabangan,5bc87a368736f4352d4165aae3b2eba48c201cd5b9d407c70a72d77606273812,2025-08-24T04:49:46.589713Z,"a <- 22
b <- 17
IF a > b THEN
cetak (a - b)
Apa yang tampil di layar?",5, 5,unknown
runtunan,8ba5fff27c2ff70410f9b7de2c42cc0198aacfc15dceab3c2ec17b52b45b170e,2025-08-24T04:49:46.599377Z,"lampu <- 2
meja <- 5
cetak (lampu * meja)
lampu <- lampu + meja
cetak (lampu)
Apa yang tampil di layar?",10 7, 7 10,False
runtunan,e7fe73466e77587c7beadf987bcec58b8354b84e6183ff9455b3b425ee7c0576,2025-08-24T04:49:47.477766Z,"bola <- 3
kotak <- 6
cetak (kotak - bola)
kotak <- kotak + bola
cetak (kotak)
Apa yang tampil di layar?",3 9, 9 3,False
percabangan,1a11b721f4486e5a1891cceab16b0f544feb5662fc9795713ee12aae7d957974,2025-08-24T04:49:48.090254Z,"a <- 14
b <- 14
IF a = b THEN {
cetak (a)
cetak (b)
cetak (a + b)
}
Apa yang tampil di layar?",14 14 28, 14 14 28,True
runtunan,1aa647accf0b9194436c4168aaa37e1a594f84257ce4b04b028562183a1f325f,2025-08-24T04:49:49.292439Z,"a <- 5
b <- 2
c <- a - b
cetak (c)
a <- c * b
cetak (a)
Apa yang tampil di layar?",3 6, 6 3,False
runtunan,ee4a081a0e19a1bcdb33431808fd6d3b6c4a6114708571840f29bbb0500ae662,2025-08-24T04:49:50.010258Z,"piring <- 4
gelas <- 9
cetak (piring)
cetak (gelas)
cetak (piring + gelas)
Apa yang tampil di layar?",4 9 13, 4 9 13,True
percabangan,79cc957c9795c0c9f2c40b0ae2536886cc60a4557a709d31e3947f5a65d46da4,2025-08-24T04:49:50.590459Z,"p <- 8
q <- 2
IF p * q = 16 THEN
cetak (p + q)
Apa yang tampil di layar?",10, 10,True
runtunan,48cd986ec59557eb7ce783f929bcf62dcccc9a564cf329f8eccb52520d0a57e2,2025-08-24T04:49:51.020190Z,"lampu <- 5
meja <- 10
cetak (lampu)
lampu <- lampu * 2
cetak (lampu)
Apa yang tampil di layar?",5 10, 10 5,False
runtunan,815ca04189f5279b81cec7bbb98bcd1bade7dd370d4eca10083c9bde5b2ae1f2,2025-08-24T04:49:52.039174Z,"a <- 4
b <- 2
cetak (a / b)
b <- a + b
cetak (b)
Apa yang tampil di layar?",2 6, 2 6,True
runtunan,15c13598ae5e49a2ee2e79373e71bd669bb0fc702d5d810c200610ccbb7dfb16,2025-08-24T04:49:53.863101Z,"m <- 7
n <- 2
cetak (m * n)
cetak (m)
Apa yang tampil di layar?",14 7, 14 7,True
percabangan,dd7db17301bd7f570d25362810903815266fc4c9bcec1db4010e51fe404a069e,2025-08-24T04:49:53.874534Z,"x <- 40
y <- 10
IF x > y THEN {
cetak (x)
cetak (y)
cetak (x / y)
}
Apa yang tampil di layar?",40 10 4, 40 10 4,True
runtunan,6375586c1d7078919091924c122d4274878efd8a6379f68a041c6377ac4b9f8c,2025-08-24T04:49:53.989489Z,"bola <- 3
buku <- 7
kertas <- bola + buku
cetak (kertas)
buku <- kertas - bola
cetak (buku)
Apa yang tampil di layar?",10 7, 10 7,True
percabangan,f6100b9f5960fadb06a75832726be12e4a84e4efc960988188af2d2a08e4af59,2025-08-24T04:49:55.868783Z,"p <- 18
q <- 12
IF p > q THEN {
cetak (p)
cetak (q)
cetak (p - q)
}
Apa yang tampil di layar?",18 12 6, 18 12 6,True
runtunan,4a5de0f3a5d034277b676d7c0bf6f59c76bb261ee15ebe2d5a8d1f0c96abfef9,2025-08-24T04:49:56.548904Z,"piring <- 7
gelas <- 2
cetak (piring)
cetak (gelas)
cetak (piring - gelas)
Apa yang tampil di layar?",7 2 5, 7 2 5,True
runtunan,bd5bf3f3f3abc2031b1c544d47a5ada7332be4fc616be40d4524b862116f2ee6,2025-08-24T04:49:57.007493Z,"x <- 5
y <- x+2
cetak (y)
y <- y*2
cetak (x)
Apa yang tampil di layar?",7 5, 7 5,True
percabangan,68fd144c0290d070821b85f18137faa5e256df0a254572780006204bac23baa8,2025-08-24T04:49:57.038064Z,"x <- 5
y <- 2
IF x * y > 8 THEN
cetak (x + y)
Apa yang tampil di layar?",7, 7,True
percabangan,e66e3f693d7acb9a4791fe33194e83b8762d993a5723c1990d36d996b10e7e43,2025-08-24T04:49:57.614436Z,"p <- 6
q <- 2
IF p / q = 3 THEN
cetak(p * q)
ELSE
cetak(p + q)
Apa yang tampil di layar?",12, 12,True
runtunan,9e5adf6667a61d2ca8b0e0017718e433c5b3fdc5613d64f69a60d054233070d3,2025-08-24T04:49:58.226034Z,"m <- 4
n <- 6
cetak (n - m)
m <- m + n
cetak (n)
Apa yang tampil di layar?",2 6, 6 2,False
percabangan,f9512513b214a5e778e59015fda349bf9e2a784982e0521c60e5548d5d9cddc4,2025-08-24T04:49:59.269471Z,"p <- 50
q <- 25
IF p > q THEN
cetak (p / q)
Apa yang tampil di layar?",2, 2,True
percabangan,81fcd16835890b37c147fae6d4773fcf8a85794025eb320dea5b79e8cd232013,2025-08-24T04:49:59.613860Z,"x <- 8
y <- 4
IF x / y = 2 THEN {
cetak(x - y)
} ELSE {
cetak(y - x)
}
Apa yang tampil di layar?",4 -4,4,True
runtunan,af3230ad3e920889eaeeb89b869f0bf6a36a5322afdbf2579c09b94928b1252c,2025-08-24T04:49:59.734253Z,"kucing <- 5
anjing <- 3
cetak (kucing + anjing)
kucing <- kucing * 2
cetak (kucing - anjing)
anjing <- anjing + kucing
cetak (anjing)
Apa yang tampil di layar?",8 7 13,8 7 12,False
percabangan,b5f3326df1e34d27306e15d3c195dbc02c31ae6a24a777365545433909374e45,2025-08-24T04:50:10.913913Z,"m <- 6
n <- 1
IF m * n = 6 THEN {
cetak (m + n)
cetak (m - n)
}
Apa yang tampil di layar?",7 5, 7 5,True
runtunan,ec91613e75997b1e85dc7ff4b5cd8b0473c6fa22901b3799be00dd60fe3191a4,2025-08-24T04:50:12.333601Z,"piring <- 5
gelas <- 6
kotak <- piring + gelas
cetak (kotak)
gelas <- kotak - piring
cetak (gelas)
Apa yang tampil di layar?",11 6, 6 11,False
runtunan,199e932db34d677b7a44b053b5d587ee74862c1d83ed887ae9e0696858488077,2025-08-24T04:50:12.715824Z,"buku <- 10
pena <- 2
cetak (buku / pena)
cetak (pena)
Apa yang tampil di layar?",5 2, 5 2,True
percabangan,22313f2340488415a697472bb2be41884c19149df472eab3b12fcb334d9d53fb,2025-08-24T04:50:14.151861Z,"x <- 8
y <- 8
IF x = y THEN
cetak(x - y)
ELSE
cetak(x + y)
Apa yang tampil di layar?",0, 0,True
percabangan,be2ed525e8f230699ea9166ff8bcdc64f3f060e95e7ee0cda197467813b69f96,2025-08-24T04:50:14.857178Z,"x <- 8
y <- 4
IF x / y = 2 THEN
cetak (x - y)
Apa yang tampil di layar?",4, 4,True
runtunan,1fb8d49204498c6f1ef7339c38b07ee8ded52ae4c72fd8d479d64d17946d599b,2025-08-24T04:50:14.918204Z,"p <- 7
q <- p
cetak (q)
p <- p+5
cetak (p)
Apa yang tampil di layar?",7 12, 12 7,False
runtunan,6c7f841b9948601e7d82c4a851d6291f046a265df25997a5b5da42abdb5a8bab,2025-08-24T04:50:16.050215Z,"p <- 9
q <- 3
cetak (p / q)
p <- p + q
cetak (p)
Apa yang tampil di layar?",3 12, 12 3,False
percabangan,8fa5642f593855fd7d4df244b7448af0673c473974acd27c4544090850ae6434,2025-08-24T04:50:16.159123Z,"x <- 5
y <- 5
IF x = y THEN
cetak (x * y)
Apa yang tampil di layar?",25, 25,True
percabangan,120178caf3358b3e6e5c68c535d808309dec3fdb21b334feb5ca7efa1c340ed2,2025-08-24T04:50:16.677566Z,"m <- 6
n <- 1
IF m * n = 6 THEN
cetak (m + n)
Apa yang tampil di layar?",7, 7,True
